,accuracy,precision,recall,f1_score,roc_auc
hist_gradient_boosting,0.6141304347826086,0.6071853073021979,0.6141304347826086,0.6095534630189362,0.8292750706161117
gradient_boosting,0.6141304347826086,0.5750935016362786,0.6141304347826086,0.59259280658674,0.8321577744074746
xgboost,0.592391304347826,0.5696853725737302,0.592391304347826,0.5797355555634119,0.8445339573926549
bagging,0.592391304347826,0.5669973337564673,0.592391304347826,0.5790169228813393,0.8322719612375579
random_forest_random_search,0.6032608695652174,0.5580304661910531,0.6032608695652174,0.5783561731194377,0.8572096715833158
catboost,0.5978260869565217,0.5511340702026609,0.5978260869565217,0.5734321250564381,0.851393430560857
nearest_centroid,0.5543478260869565,0.6065858122989618,0.5543478260869565,0.569522981451173,0.8268746807876315
lightgbm,0.5815217391304348,0.554271454958795,0.5815217391304348,0.5664142456592115,0.8275267019471164
logistic_regression,0.5869565217391305,0.5428729917986743,0.5869565217391305,0.5614639051891325,0.8468020326070446
linear_discriminant_analysis,0.5706521739130435,0.551697677921503,0.5706521739130435,0.558547218100994,0.8413451511536508
random_forest,0.5869565217391305,0.5335915818686401,0.5869565217391305,0.5584568511198946,0.8570295236207413
svm_rbf,0.5869565217391305,0.5260074504300047,0.5869565217391305,0.5517631561423972,0.8409136044400987
extra_trees,0.5597826086956522,0.5398271125363115,0.5597826086956522,0.5491983107472238,0.8417910183152449
ridge_classifier,0.6141304347826086,0.5008779264214047,0.6141304347826086,0.5483841782504839,
linear_svm,0.592391304347826,0.5097049442038816,0.592391304347826,0.5465787649591595,
knn,0.5815217391304348,0.513682337969133,0.5815217391304348,0.5453608891108891,0.7865903740527294
perceptron,0.5434782608695652,0.5534176636354161,0.5434782608695652,0.529186778168575,
sgd_classifier,0.5108695652173914,0.5278573516645813,0.5108695652173914,0.5145666426281104,0.8134721346268229
gaussian_nb,0.44565217391304346,0.6364785746538806,0.44565217391304346,0.4950206445946981,0.7905430284935662
decision_tree,0.4673913043478261,0.47761855484967614,0.4673913043478261,0.47150115167451434,0.6859738684388131
adaboost,0.5,0.36798770181736234,0.5,0.423949695519869,0.767063725043401
dummy_baseline,0.44565217391304346,0.19860586011342155,0.44565217391304346,0.2747629944426283,0.5
