,accuracy,precision,recall,f1_score,roc_auc
gaussian_nb,0.8695652173913043,0.869429347826087,0.8695652173913043,0.8693932429685912,0.917443806791009
catboost,0.8641304347826086,0.8644107822287425,0.8641304347826086,0.8636193548977972,0.9178622668579627
lightgbm,0.8641304347826086,0.8662612880897574,0.8641304347826086,0.8630563182743023,0.9140363462458154
svm_rbf,0.8641304347826086,0.8696597353497164,0.8641304347826086,0.8623515705753801,0.9218077474892395
random_forest_random_search,0.8586956521739131,0.8592359521993389,0.8586956521739131,0.8580312917682207,0.9332855093256816
gradient_boosting,0.8586956521739131,0.8601271231706015,0.8586956521739131,0.8577385835384195,0.9215686274509803
random_forest,0.8532608695652174,0.8534422708538921,0.8532608695652174,0.8527089032896208,0.9304758488761358
hist_gradient_boosting,0.8478260869565217,0.8477629835300057,0.8478260869565217,0.8473871237458193,0.9163079866092778
xgboost,0.8478260869565217,0.8490652708044012,0.8478260869565217,0.8467953976567594,0.9208512673362027
ridge_classifier,0.8478260869565217,0.8502523291925465,0.8478260869565217,0.8464408407520965,0.9227642276422764
linear_discriminant_analysis,0.8478260869565217,0.8502523291925465,0.8478260869565217,0.8464408407520965,0.9231229076996652
extra_trees,0.842391304347826,0.8422434324010234,0.842391304347826,0.8422922535440344,0.9154112864658058
linear_svm,0.842391304347826,0.8453942198787182,0.842391304347826,0.840757482635791,0.922883787661406
logistic_regression,0.8369565217391305,0.838003418438201,0.8369565217391305,0.8358522117750995,0.9203730272596844
knn,0.8369565217391305,0.838003418438201,0.8369565217391305,0.8358522117750995,0.8887494021999044
adaboost,0.8315217391304348,0.8312721125874676,0.8315217391304348,0.8311729228553425,0.9247967479674797
bagging,0.8260869565217391,0.8293559986923832,0.8260869565217391,0.8240528858377828,0.9210306073648972
nearest_centroid,0.7989130434782609,0.799188575222111,0.7989130434782609,0.7990271098217125,0.919296987087518
sgd_classifier,0.7880434782608695,0.7894815990982448,0.7880434782608695,0.7858462697515811,0.8845050215208035
decision_tree,0.782608695652174,0.7822219899665552,0.782608695652174,0.7823220716143188,0.8030846484935438
perceptron,0.782608695652174,0.7918055779090887,0.782608695652174,0.7772170462387854,0.8546150167384027
dummy_baseline,0.5543478260869565,0.3073015122873346,0.5543478260869565,0.3954089388871998,0.5
